id;NIK;Nama Pasien;NIK Dokter;ID Satu Sehat Poliklinik;Tanggal Periksa;ICD;Ruang
0;9271060312000001;Ardianto Putra;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9204014804000002;Claudia Sintia;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9104224509000003;Elizabeth Dior;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9104223107000004;Dr. Alan Bagus Prasetya;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9104224606000005;Ghina Assyifa;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9104025209000006;Salsabilla Anjani Rizki;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-04;L70. 0;Ruang 1A Estetika
0;9271060312000001;Ardianto Putra;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9204014804000002;Claudia Sintia;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9104224509000003;Elizabeth Dior;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9104223107000004;Dr. Alan Bagus Prasetya;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9104224606000005;Ghina Assyifa;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9104025209000006;Salsabilla Anjani Rizki;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-05;L70. 0;Ruang 1A Estetika
0;9271060312000001;Ardianto Putra;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
0;9204014804000002;Claudia Sintia;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
0;9104224509000003;Elizabeth Dior;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
0;9104223107000004;Dr. Alan Bagus Prasetya;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
0;9104224606000005;Ghina Assyifa;7209061211900001;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
0;9104025209000006;Salsabilla Anjani Rizki;6408130207800005;61becd6f-a241-4d69-bb11-c49e73f2be15;2024-10-06;L70. 0;Ruang 1A Estetika
